"","CNTSTUID","CNT.x","ST001D01T","ST004D01T","STRATUM","ave_cr_social","ave_cr","ave_emp"
"2041",41002183,"KOR",9,2,"KOR01",0.5,1.35714285714286,3.4
"2042",41002184,"KOR",10,2,"KOR03",NA,NA,3
"2043",41002185,"KOR",10,1,"KOR02",NA,NA,2.8
"2044",41002186,"KOR",10,1,"KOR02",1,1.33333333333333,3
"2045",41002187,"KOR",10,1,"KOR02",NA,NA,3.6
"2046",41002188,"KOR",10,1,"KOR02",1.2,1.07142857142857,3.8
"2047",41002189,"KOR",10,2,"KOR03",NA,NA,3.6
"2048",41002191,"KOR",10,2,"KOR02",NA,1.46666666666667,4.8
"2049",41002192,"KOR",10,2,"KOR03",1.6,1.28571428571429,3.4
"2050",41002193,"KOR",10,1,"KOR02",NA,NA,3.2
"2051",41002194,"KOR",10,1,"KOR02",NA,NA,3.6
"2052",41002195,"KOR",10,1,"KOR02",NA,NA,2.2
"2053",41002196,"KOR",10,1,"KOR02",0.666666666666667,1.33333333333333,3
"2054",41002197,"KOR",9,2,"KOR01",NA,NA,3
"2055",41002199,"KOR",10,2,"KOR02",0.5,1,3.4
"2056",41002200,"KOR",10,1,"KOR02",1.75,1.55555555555556,4.2
"2057",41002201,"KOR",10,2,"KOR02",NA,NA,4.2
"2058",41002202,"KOR",10,2,"KOR02",NA,NA,2.6
"2059",41002203,"KOR",10,1,"KOR02",NA,NA,4
"2060",41002204,"KOR",10,2,"KOR03",1.5,0.888888888888889,2.4
"2061",41002205,"KOR",10,1,"KOR02",NA,NA,3.2
"2062",41002206,"KOR",10,2,"KOR02",NA,NA,3.2
"2063",41002207,"KOR",10,2,"KOR02",NA,NA,3
"2064",41002208,"KOR",10,1,"KOR02",2,1.63636363636364,3.4
"2065",41002209,"KOR",11,1,"KOR02",2,1.73333333333333,3.8
"2066",41002210,"KOR",10,2,"KOR03",1.33333333333333,1.25,3
"2067",41002211,"KOR",10,2,"KOR02",NA,NA,2.2
"2068",41002212,"KOR",10,2,"KOR02",1.75,1.55555555555556,3.2
"2069",41002213,"KOR",9,2,"KOR01",NA,NA,3.6
"2070",41002214,"KOR",10,2,"KOR02",NA,NA,3
"2071",41002215,"KOR",10,2,"KOR02",NA,1.3,3.8
"2072",41002216,"KOR",10,2,"KOR02",NA,NA,5
"2073",41002218,"KOR",10,2,"KOR02",NA,NA,3
"2074",41002220,"KOR",9,2,"KOR01",NA,NA,4
"2075",41002221,"KOR",10,1,"KOR02",NA,NA,NA
"2076",41002222,"KOR",10,2,"KOR02",NA,NA,3.8
"2077",41002223,"KOR",10,2,"KOR02",NA,NA,3.2
"2078",41002224,"KOR",10,2,"KOR02",NA,NA,3.8
"2079",41002226,"KOR",10,1,"KOR02",0,1.1,2.8
"2080",41002227,"KOR",10,1,"KOR03",0.333333333333333,1.07142857142857,3
"2081",41002228,"KOR",10,2,"KOR03",NA,NA,3.4
"2082",41002229,"KOR",10,2,"KOR03",NA,NA,NA
